#Vehicle Trip Report,,,,,,,,,,,,,,
#Report For :07/05/2023 22:29:40 - 14/05/2023 22:29:48,,,,,,,,,,,,,,
Vehicle,Trip-No,Vehicle-Category,Trip-Start-Location,Trip-Start-In-Time,Trip-Start-Out-Time,Trip-End-Location,Trip-End-In-Time,Trip-End-Out-Time,Distance,Time-Duration,Running-Time,Dest-Detention-Time,Halt-Hours,Route-Traveled
DL1 LAD 6259,33,46,DC46,13/05/2023 08:23 AM,13/05/2023 09:06 AM,DC46,13/05/2023 09:17 AM,13/05/2023 10:05 AM,0.68,00hr 10min,00hr 1min,00hr 48min,00hr 8min,Route Link
DL1 LAD 6259,34,46,DC46,13/05/2023 10:05 AM,13/05/2023 10:10 AM,DC46,13/05/2023 11:29 AM,13/05/2023 02:14 PM,0.97,01hr 18min,00hr 2min,02hr 44min,01hr 16min,Route Link
DL1 LAD 6259,35,46,DC46,13/05/2023 02:14 PM,13/05/2023 02:23 PM,DC46,13/05/2023 08:29 PM,13/05/2023 08:33 PM,17.72,06hr 6min,00hr 41min,00hr 3min,05hr 25min,Route Link
DL1 LAD 6259,36,46,DC46,13/05/2023 08:33 PM,13/05/2023 08:49 PM,DC46,13/05/2023 08:56 PM,14/05/2023 07:21 AM,0.3,00hr 6min,00hr 0min,10hr 24min,00hr 5min,Route Link
DL1 LAD 6259,37,46,DC46,13/05/2023 08:56 PM,14/05/2023 07:21 AM,DC46,14/05/2023 07:30 AM,14/05/2023 08:08 AM,0.21,00hr 9min,00hr 0min,00hr 38min,00hr 8min,Route Link
DL1 LAD 6259,38,46,DC46,14/05/2023 08:08 AM,14/05/2023 09:10 AM,DC46,14/05/2023 09:18 AM,14/05/2023 09:21 AM,0.62,00hr 7min,00hr 1min,00hr 3min,00hr 6min,Route Link
DL1 LAD 6259,39,46,DC46,14/05/2023 09:21 AM,14/05/2023 09:24 AM,DC46,14/05/2023 10:04 AM,14/05/2023 10:05 AM,0.41,00hr 40min,00hr 1min,00hr 0min,00hr 39min,Route Link
DL1 LAD 6259,40,46,DC46,14/05/2023 10:04 AM,14/05/2023 10:05 AM,DC52,14/05/2023 10:42 AM,14/05/2023 10:42 AM,3.18,00hr 37min,00hr 7min,00hr 0min,00hr 29min,Route Link
DL1 LAD 6259,41,46,DC52,14/05/2023 10:42 AM,14/05/2023 10:42 AM,DC46,14/05/2023 01:06 PM,14/05/2023 03:24 PM,9.11,02hr 23min,00hr 19min,02hr 18min,02hr 4min,Route Link
DL1 LAD 6259,42,46,DC46,14/05/2023 01:06 PM,14/05/2023 03:24 PM,DC46,14/05/2023 09:05 PM,14/05/2023 09:05 PM,17.32,05hr 40min,00hr 43min,00hr 0min,04hr 57min,Route Link
